filepath,label,label_id
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\0ecb87cb-7759-4207-8b39-1d52326f6882___YLCV_GCREC_2597.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Potato__Healthy\freshPotato_(311).jpg,Potato__Healthy,22
data/dataset_filtered\Pepper__bell___Bacterial_spot\5724817a-2d5d-4664-9388-d208c21bc09e___NREC_B.Spot_1953.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Grape__black_measles\587ab471-2fa6-41da-a73c-eaae92b4a28f___FAM_B.Msls_4088.jpg,Grape__black_measles,11
data/dataset_filtered\Corn___Healthy\image_(383).jpg,Corn___Healthy,8
data/dataset_filtered\Wheat___Healthy\Healthy086.jpg,Wheat___Healthy,48
data/dataset_filtered\Banana__Healthy\rotated_by_75_Screen_Shot_2018-06-12_at_9.45.46_PM.png,Banana__Healthy,3
data/dataset_filtered\Orange__Rotten\rotated_by_60_Screen_Shot_2018-06-12_at_11.35.55_PM.png,Orange__Rotten,18
data/dataset_filtered\Wheat___Healthy\Healthy759.jpg,Wheat___Healthy,48
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\63f709d8-9221-44ef-b069-a930681078a0___YLCV_NREC_0227.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Rice___Healthy\IMG_20190419_162021.jpg,Rice___Healthy,25
data/dataset_filtered\Corn___Healthy\image_(28).jpg,Corn___Healthy,8
data/dataset_filtered\Apple__Healthy\118160af-d2a3-48ef-8134-cf72f0588cfe___RS_HL_7456.jpg,Apple__Healthy,0
data/dataset_filtered\Grape__black_measles\3b09c324-b9f6-44ed-ab62-1477bf41a5b6___FAM_B.Msls_3912.jpg,Grape__black_measles,11
data/dataset_filtered\Cherry__healthy\0438b691-45f8-4251-83bd-8344656716a1___JR_HL_4152.jpg,Cherry__healthy,5
data/dataset_filtered\Corn___Northern_Leaf_Blight\image_(744).jpg,Corn___Northern_Leaf_Blight,9
data/dataset_filtered\Tomato__target_spot\d3d9fe25-5624-4799-8632-bd52bfa759f5___Com.G_TgS_FL_8185.jpg,Tomato__target_spot,45
data/dataset_filtered\Cherry__healthy\Cherry_leaf_(52).jpg,Cherry__healthy,5
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\87e2c18a-a5cd-41f6-8b43-ca1be81612dd___YLCV_GCREC_2777.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Grape__healthy\4a2e44c5-aa80-4052-bc4a-5d6324ae5f3e___Mt.N.V_HL_6207.jpg,Grape__healthy,13
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(1383).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Apple__Healthy\179ad6a1-385b-42a2-8232-538664869673___RS_HL_5771.jpg,Apple__Healthy,0
data/dataset_filtered\Potato__Healthy\freshPotato_(577).jpg,Potato__Healthy,22
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\68be2eef-b6dd-498d-afa6-ad8c369a4d3a___Com.G_SpM_FL_8851.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Orange__Healthy\rotated_by_75_Screen_Shot_2018-06-12_at_11.58.02_PM.png,Orange__Healthy,17
data/dataset_filtered\Wheat___Yellow_Rust\Yellow_rust005.jpg,Wheat___Yellow_Rust,49
data/dataset_filtered\Pepper__bell___Bacterial_spot\ec600995-4f8f-4f07-b312-d7a74bbd950c___JR_B.Spot_3101.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Strawberry__Rotten\rottenStrawberry_(226).jpg,Strawberry__Rotten,31
data/dataset_filtered\Tomato_Early_blight\e221d1fa-e003-44eb-a0b0-57e8fcd73fd3___RS_Erly.B_7571.jpg,Tomato_Early_blight,35
data/dataset_filtered\Tomato_Septoria_leaf_spot\1ecc0c20-9ef3-40af-a8d8-9a43463a26b4___Matt.S_CG_7654.jpg,Tomato_Septoria_leaf_spot,38
data/dataset_filtered\Tomato__late_blight\65d94a14-e372-4f4f-b955-c2144ebd3166___GHLB_PS_Leaf_28_Day_13.jpg,Tomato__late_blight,43
data/dataset_filtered\Banana__Healthy\rotated_by_30_Screen_Shot_2018-06-12_at_9.52.58_PM.png,Banana__Healthy,3
data/dataset_filtered\Wheat___Yellow_Rust\Yellow_rust1025.jpg,Wheat___Yellow_Rust,49
data/dataset_filtered\Cucumber__healthy\IMG20200629183431.jpg,Cucumber__healthy,10
data/dataset_filtered\Peach__bacterial_spot\78457661-d9e5-4170-8d07-e80fe53ba581___Rutg._Bact.S_1593.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\76e0ae6a-eceb-4779-8936-45c81118e56e___YLCV_GCREC_2438.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Grape__black_rot\Grape_Black_rot11180.jpg,Grape__black_rot,12
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\6d9df42f-f97b-4ac0-9cb5-86e483ae92bd___YLCV_NREC_2614.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Pepper__bell___healthy\7100698f-5430-4fed-ba4f-391d6b5956d8___JR_HL_8454.jpg,Pepper__bell___healthy,21
data/dataset_filtered\Potato___Early_blight\e09798e4-23b1-4485-873b-605bc350f327___RS_Early.B_7320.jpg,Potato___Early_blight,23
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\46aff4bf-7ab8-4a46-95d0-cc3a2007207a___Com.G_SpM_FL_1558.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Pepper__bell___healthy\80ba68a5-6096-4605-b4b7-e0f9c5bac0db___JR_HL_8143.jpg,Pepper__bell___healthy,21
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\3670abdb-2f62-4fd1-a1cb-b66555bc361a___UF.GRC_YLCV_Lab_01255.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Strawberry__Rotten\611.jpg,Strawberry__Rotten,31
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(243).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Tomato__septoria_leaf_spot\668b9b02-3107-402b-8ece-1e95dda4f635___Matt.S_CG_1362.jpg,Tomato__septoria_leaf_spot,44
data/dataset_filtered\Soybean__healthy\c2655aee-1dc1-442b-ae1d-c244fb3df36d___RS_HL_6288.jpg,Soybean__healthy,30
data/dataset_filtered\Tomato__late_blight\5b80231f-8012-42bb-97d0-12c48a4a2450___GHLB2_Leaf_8546.jpg,Tomato__late_blight,43
data/dataset_filtered\Apple__Healthy\13ee12c2-f465-4e44-a81f-36695ded6955___RS_HL_7897.jpg,Apple__Healthy,0
data/dataset_filtered\Corn___Northern_Leaf_Blight\image_(47).jpg,Corn___Northern_Leaf_Blight,9
data/dataset_filtered\Tomato__target_spot\d0c861e0-aae7-4847-84cc-880ecc5a8aa1___Com.G_TgS_FL_8005.jpg,Tomato__target_spot,45
data/dataset_filtered\Pepper__bell___healthy\1d0430f7-af9b-4e3d-9d4a-47cf676556fe___JR_HL_5938.jpg,Pepper__bell___healthy,21
data/dataset_filtered\Corn___Common_Rust\image_(433).jpg,Corn___Common_Rust,7
data/dataset_filtered\Grape__healthy\FreshGrape_(187).jpg,Grape__healthy,13
data/dataset_filtered\Strawberry__healthy\60856065-b1f0-45bb-aa6f-e2d569990834___RS_HL_4355.jpg,Strawberry__healthy,33
data/dataset_filtered\Mango__healthy\26.jpg,Mango__healthy,16
data/dataset_filtered\Corn___Common_Rust\image_(8).jpg,Corn___Common_Rust,7
data/dataset_filtered\Tomato_Early_blight\96418ba8-a05f-4dea-9f8c-d4310ee564be___RS_Erly.B_7620.jpg,Tomato_Early_blight,35
data/dataset_filtered\Tomato_Late_blight\d4f4500b-9ebe-41fe-84ed-00278dc646b7___GHLB2_Leaf_9017.jpg,Tomato_Late_blight,36
data/dataset_filtered\Tomato__target_spot\36c496c8-403b-4f76-abea-0834dcda8d0c___Com.G_TgS_FL_8222.jpg,Tomato__target_spot,45
data/dataset_filtered\Potato___Early_blight\9bc2ecbb-4a3c-43be-80ce-c6ac77e4b498___RS_Early.B_7145.jpg,Potato___Early_blight,23
data/dataset_filtered\Tomato_Early_blight\d3ebceea-8021-4168-85a4-27ef48cdaacb___RS_Erly.B_7857.jpg,Tomato_Early_blight,35
data/dataset_filtered\Cherry__healthy\41bc3cc1-3d62-4829-ae39-0cf0efb5b1dd___JR_HL_3969.jpg,Cherry__healthy,5
data/dataset_filtered\Tomato__target_spot\f674c52c-b90b-49b6-b044-bae00441a531___Com.G_TgS_FL_0953.jpg,Tomato__target_spot,45
data/dataset_filtered\Strawberry___leaf_scorch\2f85af8e-0d83-4557-93a0-edfa85db9753___RS_L.Scorch_1439.jpg,Strawberry___leaf_scorch,32
data/dataset_filtered\Cherry__powdery_mildew\ea9ddb0e-bde0-4972-b202-8554fb62e348___FREC_Pwd.M_4806.jpg,Cherry__powdery_mildew,6
data/dataset_filtered\Mango__healthy\freshMango_(292).jpg,Mango__healthy,16
data/dataset_filtered\Grape__healthy\bed370e7-2f48-4102-81a0-4e960d47d8c9___Mt.N.V_HL_8936.jpg,Grape__healthy,13
data/dataset_filtered\Soybean__diabrotica_speciosa\diabroticaspeciosa_(1191).jpg,Soybean__diabrotica_speciosa,29
data/dataset_filtered\Tomato__healthy\f65afb75-30bc-4d44-adbd-d262ebe07ad5___GH_HL_Leaf_222.1.jpg,Tomato__healthy,42
data/dataset_filtered\Mango__Rotten\851.jpg,Mango__Rotten,15
data/dataset_filtered\Orange__Healthy\vertical_flip_Screen_Shot_2018-06-13_at_12.07.46_AM.png,Orange__Healthy,17
data/dataset_filtered\Apple__Rotten\vertical_flip_Screen_Shot_2018-06-07_at_2.24.02_PM.png,Apple__Rotten,1
data/dataset_filtered\Soybean__caterpillar\caterpillar_(2284).jpg,Soybean__caterpillar,28
data/dataset_filtered\Cucumber__healthy\IMG20200629183222.jpg,Cucumber__healthy,10
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\3f2fd843-100d-4293-b675-cadc7ea8e67a___UF.GRC_YLCV_Lab_08478.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Peach__bacterial_spot\a8f4e5bc-5988-4df9-b440-ec24e072e029___Rutg._Bact.S_1815.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Strawberry__healthy\freshStrawberry_(16).jpg,Strawberry__healthy,33
data/dataset_filtered\Soybean__caterpillar\caterpillar_(2845).jpg,Soybean__caterpillar,28
data/dataset_filtered\Banana__Rotten\rotated_by_15_Screen_Shot_2018-06-12_at_9.12.49_PM.png,Banana__Rotten,4
data/dataset_filtered\Mango__Rotten\alternaria_085.jpg,Mango__Rotten,15
data/dataset_filtered\Grape__black_measles\ab84accf-1cc9-42af-96cb-28cfd4aebc33___FAM_B.Msls_4127.jpg,Grape__black_measles,11
data/dataset_filtered\Orange__Healthy\rotated_by_45_Screen_Shot_2018-06-12_at_11.58.18_PM.png,Orange__Healthy,17
data/dataset_filtered\Cherry__healthy\15b7d0a2-f9de-436b-92e4-7b1c2993984c___JR_HL_4250.jpg,Cherry__healthy,5
data/dataset_filtered\Grape__black_measles\1a550a2d-aafb-44c7-9358-aa8fceeb183a___FAM_B.Msls_1773.jpg,Grape__black_measles,11
data/dataset_filtered\Tomato_Leaf_Mold\0adab1d4-5696-4cd8-8453-3931b70e856d___Crnl_L.Mold_8689.jpg,Tomato_Leaf_Mold,37
data/dataset_filtered\Potato___Early_blight\5a7ca2a3-5bfc-47b7-9657-85a6c95a0956___RS_Early.B_7061.jpg,Potato___Early_blight,23
data/dataset_filtered\Pepper__bell___healthy\38f909e5-e943-48fd-b34b-20aa755082ee___JR_HL_8213.jpg,Pepper__bell___healthy,21
data/dataset_filtered\Tomato__septoria_leaf_spot\56d9c252-fe48-4a39-8264-8bfce1f8ba2a___JR_Sept.L.S_2562.jpg,Tomato__septoria_leaf_spot,44
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\7ae43379-41d6-4e7a-a705-f8c77deb52d0___UF.GRC_YLCV_Lab_01434.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Grape__black_rot\grape_black_rot2568.jpg,Grape__black_rot,12
data/dataset_filtered\Tomato__target_spot\ea33b2bf-bf18-4e55-a4dc-e59c4b9de753___Com.G_TgS_FL_0935.jpg,Tomato__target_spot,45
data/dataset_filtered\Apple__Rotten\vertical_flip_Screen_Shot_2018-06-07_at_3.00.33_PM.png,Apple__Rotten,1
data/dataset_filtered\Strawberry__Rotten\189.jpg,Strawberry__Rotten,31
data/dataset_filtered\Orange__Rotten\rottenOrange_(463).jpg,Orange__Rotten,18
data/dataset_filtered\Grape__black_measles\caca5eaa-96b1-4fd5-8891-14e3edd34e10___FAM_B.Msls_1735.jpg,Grape__black_measles,11
data/dataset_filtered\Orange__Healthy\freshOrange_(202).jpg,Orange__Healthy,17
data/dataset_filtered\Tomato_Septoria_leaf_spot\b3ba9f53-aad8-4e4b-a86c-333d16556713___Matt.S_CG_6374.jpg,Tomato_Septoria_leaf_spot,38
data/dataset_filtered\Banana__Rotten\vertical_flip_Screen_Shot_2018-06-12_at_8.50.26_PM.png,Banana__Rotten,4
data/dataset_filtered\Apple__Healthy\translation_Screen_Shot_2018-06-08_at_5.34.14_PM.png,Apple__Healthy,0
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\9ce6d72b-57d7-4f3d-8e3b-abc7d1da2e69___Com.G_SpM_FL_1455.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Wheat___Healthy\Healthy1331.jpg,Wheat___Healthy,48
data/dataset_filtered\Tomato__target_spot\5d157d30-435f-4572-9722-43439ebe6ed2___Com.G_TgS_FL_1048.jpg,Tomato__target_spot,45
data/dataset_filtered\Strawberry__healthy\freshStrawberry_(478).jpg,Strawberry__healthy,33
data/dataset_filtered\Wheat___Healthy\Healthy074.jpg,Wheat___Healthy,48
data/dataset_filtered\Grape__black_measles\7f79ffe2-6ec7-4fed-bdd0-e9d509fe73fc___FAM_B.Msls_4493.jpg,Grape__black_measles,11
data/dataset_filtered\Rice___Leaf_Blast\IMG_4879.jpg,Rice___Leaf_Blast,26
data/dataset_filtered\Tomato__healthy\a91df7a3-b064-4edb-8556-686598d0bdea___RS_HL_0317.jpg,Tomato__healthy,42
data/dataset_filtered\Tomato__healthy\40dfa3e5-617d-46bb-9eab-eb2b114e5367___RS_HL_0079.jpg,Tomato__healthy,42
data/dataset_filtered\Tomato_Early_blight\9a86409c-60ef-4fb5-9783-665065eb5229___RS_Erly.B_7697.jpg,Tomato_Early_blight,35
data/dataset_filtered\Apple__scab\c3d356bb-504c-48f7-b7aa-4feb5c009d6d___FREC_Scab_3383.jpg,Apple__scab,2
data/dataset_filtered\Tomato__bacterial_spot\e48d7087-f125-4912-b9d6-65fdeedd2ddb___GCREC_Bact.Sp_6182.jpg,Tomato__bacterial_spot,41
data/dataset_filtered\Mango__Rotten\lasio_102.jpg,Mango__Rotten,15
data/dataset_filtered\Soybean__caterpillar\caterpillar_(2391).jpg,Soybean__caterpillar,28
data/dataset_filtered\Grape__black_measles\05ac9e47-e521-4677-9768-5bcb4e414ce1___FAM_B.Msls_3816.jpg,Grape__black_measles,11
data/dataset_filtered\Wheat___Brown_Rust\Brown_rust1122.jpg,Wheat___Brown_Rust,47
data/dataset_filtered\Apple__Healthy\rotated_by_60_Screen_Shot_2018-06-08_at_5.12.14_PM.png,Apple__Healthy,0
data/dataset_filtered\Corn___Healthy\image_(524).jpg,Corn___Healthy,8
data/dataset_filtered\Tomato__target_spot\50b459e0-7ea3-4917-ae40-d54f0d85b1d3___Com.G_TgS_FL_1118.jpg,Tomato__target_spot,45
data/dataset_filtered\Grape__black_measles\5976799d-1662-4a7d-95b8-af7e05a8fb73___FAM_B.Msls_3795.jpg,Grape__black_measles,11
data/dataset_filtered\Strawberry__healthy\666a3c73-655c-43e4-a4d3-a9cff6a31b84___RS_HL_4331.jpg,Strawberry__healthy,33
data/dataset_filtered\Soybean__caterpillar\caterpillar_(1702).jpg,Soybean__caterpillar,28
data/dataset_filtered\Potato___Late_Blight\025f3c76-6d6c-4dad-ba22-e3e72d084ef1___RS_LB_3105.jpg,Potato___Late_Blight,24
data/dataset_filtered\Strawberry__healthy\a41cf942-f28c-49a8-8c6f-090bed625de2___RS_HL_2219.jpg,Strawberry__healthy,33
data/dataset_filtered\Tomato_Early_blight\113562f3-fe24-4b28-9ec8-7ca432bded47___RS_Erly.B_9402.jpg,Tomato_Early_blight,35
data/dataset_filtered\Rice___Neck_Blast\IMG20201109164440_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Grape__black_rot\grape_black_rot6931.jpg,Grape__black_rot,12
data/dataset_filtered\Strawberry___leaf_scorch\7a07e435-5c05-491b-8c1f-b322d3e603d0___RS_L.Scorch_1079.jpg,Strawberry___leaf_scorch,32
data/dataset_filtered\Grape__black_measles\d49a6797-db17-4312-a00f-043fbbd28651___FAM_B.Msls_0998.jpg,Grape__black_measles,11
data/dataset_filtered\Soybean__healthy\4080b95a-4bb8-4554-8cda-00801cbb018b___RS_HL_5262.jpg,Soybean__healthy,30
data/dataset_filtered\Peach__bacterial_spot\1bc7f60f-d240-49b5-a692-cbe15a59c6d7___Rutg._Bact.S_1193.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Mango__Rotten\rottenMango_(47).jpg,Mango__Rotten,15
data/dataset_filtered\Rice___Neck_Blast\IMG20201109184816_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Apple__Rotten\rottenApple_(260).jpg,Apple__Rotten,1
data/dataset_filtered\Orange__Healthy\rotated_by_45_Screen_Shot_2018-06-12_at_11.56.35_PM.png,Orange__Healthy,17
data/dataset_filtered\Orange__Healthy\rotated_by_60_Screen_Shot_2018-06-12_at_11.58.02_PM.png,Orange__Healthy,17
data/dataset_filtered\Banana__Rotten\Screen_Shot_2018-06-12_at_9.14.01_PM.png,Banana__Rotten,4
data/dataset_filtered\Orange__Healthy\rotated_by_60_Screen_Shot_2018-06-13_at_12.09.54_AM.png,Orange__Healthy,17
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\467d740a-d248-4900-8fc1-76beeec148dc___YLCV_GCREC_2765.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Potato___Late_Blight\6616bc3c-e3be-440d-ac55-ae3bb665e8b4___RS_LB_5071.jpg,Potato___Late_Blight,24
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\86e87164-f5f1-4cda-b4e1-d522a185b07e___YLCV_GCREC_2497.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\d56e9013-62c8-4678-95ae-6b9f7e2e16bf___Com.G_SpM_FL_9627.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Grape__healthy\0163a6aa-fbf8-47c5-965f-59b6efe8bfe5___Mt.N.V_HL_6103.jpg,Grape__healthy,13
data/dataset_filtered\Orange__Healthy\freshOrange_(15).jpg,Orange__Healthy,17
data/dataset_filtered\Mango__healthy\367.jpg,Mango__healthy,16
data/dataset_filtered\Tomato_Bacterial_spot\dc865b07-0701-4ddd-be52-cc75f80d0ada___UF.GRC_BS_Lab_Leaf_0683.jpg,Tomato_Bacterial_spot,34
data/dataset_filtered\Corn___Healthy\image_(1128).jpg,Corn___Healthy,8
data/dataset_filtered\Strawberry__healthy\freshStrawberry_(409).jpg,Strawberry__healthy,33
data/dataset_filtered\Grape__black_measles\37c03ad3-b659-4dd3-a402-68e4d9e64201___FAM_B.Msls_1008.jpg,Grape__black_measles,11
data/dataset_filtered\Wheat___Healthy\Healthy705.jpg,Wheat___Healthy,48
data/dataset_filtered\Tomato__target_spot\08b9a677-e59f-4f3b-a4ff-325d211abdd2___Com.G_TgS_FL_1126.jpg,Tomato__target_spot,45
data/dataset_filtered\Orange__Rotten\rotated_by_15_Screen_Shot_2018-06-12_at_11.43.36_PM.png,Orange__Rotten,18
data/dataset_filtered\Peach__bacterial_spot\52d04959-0d51-4434-8f9b-61544a7ed63a___Rut._Bact.S_1494.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Tomato__healthy\994d4897-7227-4f74-a5e1-610d528e7d87___RS_HL_9927.jpg,Tomato__healthy,42
data/dataset_filtered\Apple__Healthy\vertical_flip_Screen_Shot_2018-06-08_at_5.28.15_PM.png,Apple__Healthy,0
data/dataset_filtered\Orange__Healthy\freshOrange_(278).jpg,Orange__Healthy,17
data/dataset_filtered\Apple__scab\a038a218-4c69-4f5a-9887-80fac9888782___FREC_Scab_3008.jpg,Apple__scab,2
data/dataset_filtered\Grape__leaf_blight_(isariopsis_leaf_spot)\0249d5d6-ca79-40a5-9cdb-3d72382e25e1___FAM_L.Blight_1392.jpg,Grape__leaf_blight_(isariopsis_leaf_spot),14
data/dataset_filtered\Tomato__healthy\freshTomato_(189).jpg,Tomato__healthy,42
data/dataset_filtered\Apple__Rotten\rotated_by_75_Screen_Shot_2018-06-07_at_2.51.45_PM.png,Apple__Rotten,1
data/dataset_filtered\Tomato_Early_blight\375a4113-c296-4b3a-897b-da6f4ac660dc___RS_Erly.B_6408.jpg,Tomato_Early_blight,35
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\f58ec82b-b2ac-4120-b612-bb48a2f68e15___Com.G_SpM_FL_8959.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
data/dataset_filtered\Potato___Early_blight\59676e33-8884-4359-83d9-e07df07f31a1___RS_Early.B_7041.jpg,Potato___Early_blight,23
data/dataset_filtered\Grape__black_rot\grape_black_rot2367.jpg,Grape__black_rot,12
data/dataset_filtered\Rice___Healthy\IMG_20190419_100330.jpg,Rice___Healthy,25
data/dataset_filtered\Tomato__Tomato_YellowLeaf__Curl_Virus\287b1968-94a2-4a11-8c05-b1e7dbbf44ec___YLCV_GCREC_2228.jpg,Tomato__Tomato_YellowLeaf__Curl_Virus,40
data/dataset_filtered\Apple__Healthy\5e552830-5ccd-4f85-9f77-ed63db285890___RS_HL_5994.jpg,Apple__Healthy,0
data/dataset_filtered\Peach__bacterial_spot\c71301df-ba65-4e59-945e-66f8d6ec4d92___Rut._Bact.S_1181.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Orange__Rotten\saltandpepper_Screen_Shot_2018-06-12_at_11.21.40_PM.png,Orange__Rotten,18
data/dataset_filtered\Banana__Rotten\saltandpepper_Screen_Shot_2018-06-12_at_9.13.39_PM.png,Banana__Rotten,4
data/dataset_filtered\Cucumber__healthy\photo_2020-06-28_00-09-15.jpg,Cucumber__healthy,10
data/dataset_filtered\Strawberry__Rotten\rottenStrawberry_(357).jpg,Strawberry__Rotten,31
data/dataset_filtered\Apple__Healthy\885dd825-a34b-4149-bbb0-445fa62a4e64___RS_HL_7814.jpg,Apple__Healthy,0
data/dataset_filtered\Potato___Late_Blight\625cf166-4cb5-4e6f-ac94-1193698388f2___RS_LB_5427.jpg,Potato___Late_Blight,24
data/dataset_filtered\Tomato__target_spot\93fad1d9-90a1-4536-be9f-f197d85c51ef___Com.G_TgS_FL_8223.jpg,Tomato__target_spot,45
data/dataset_filtered\Rice___Neck_Blast\IMG20201109213920_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Corn___Common_Rust\image_(930).jpg,Corn___Common_Rust,7
data/dataset_filtered\Tomato__bacterial_spot\f321fdc4-0b37-4f12-bf76-30af4c54a573___UF.GRC_BS_Lab_Leaf_9227.jpg,Tomato__bacterial_spot,41
data/dataset_filtered\Potato__Healthy\freshPotato_(418).jpg,Potato__Healthy,22
data/dataset_filtered\Potato___Late_Blight\f9102bc2-7c64-4dd8-afe5-d31db2159899___RS_LB_4401.jpg,Potato___Late_Blight,24
data/dataset_filtered\Pepper__bell___healthy\ab24c144-5ee4-4f56-b67c-1fc25475dfe0___JR_HL_8173.jpg,Pepper__bell___healthy,21
data/dataset_filtered\Grape__black_rot\grape_black_rot3381.jpg,Grape__black_rot,12
data/dataset_filtered\Tomato__healthy\16f3a461-aafc-49e9-8973-39a52190985a___RS_HL_9803.jpg,Tomato__healthy,42
data/dataset_filtered\Corn___Common_Rust\image_(77).jpg,Corn___Common_Rust,7
data/dataset_filtered\Orange__Healthy\rotated_by_15_Screen_Shot_2018-06-13_at_12.06.28_AM.png,Orange__Healthy,17
data/dataset_filtered\Tomato_Spider_mites_Two_spotted_spider_mite\3eab318e-f431-42eb-8990-3f613dbba67b___Com.G_SpM_FL_1386.jpg,Tomato_Spider_mites_Two_spotted_spider_mite,39
